,sofifa_id,short_name,player_positions,value_eur,league_level,wage_eur,height_cm,weight_kg,club_name,nationality_name,real_face,shooting,passing,dribbling,defending,attacking,skill,movement,power,defending,mentality
21,230621,G. Donnarumma,GK,119500000,1,110000,196,90,Paris Saint-Germain,Italy,Yes,,,,16.66666667,16,23.6,58.4,51,16.66666667,37
22,155862,Sergio Ramos,CB,24000000,1,115000,184,82,Paris Saint-Germain,Spain,Yes,70,76,74,88,74.8,76.2,75,79.6,88,83.5
23,176580,L. Su?rez,ST,44500000,1,135000,182,83,Atl?tico de Madrid,Uruguay,Yes,90,82,84,41.66666667,86,82.8,78,81.8,41.66666667,78.83333333
24,182521,T. Kroos,CM,75000000,1,310000,183,76,Real Madrid CF,Germany,Yes,81,91,81,68,79.6,86.2,66.2,70.8,68,77.83333333
25,192505,R. Lukaku,ST,93500000,1,260000,191,94,Chelsea,Belgium,Yes,87,74,78,33.66666667,81.8,74.8,74.2,81,33.66666667,72.66666667
27,202652,R. Sterling,LWRW,107500000,1,290000,170,69,Manchester City,England,Yes,82,79,87,49,72,78.6,92,72.2,49,67.83333333
28,212198,Bruno Fernandes,CAM,107500000,1,250000,179,69,Manchester United,Portugal,Yes,86,89,84,70,82.4,86.4,80,82.4,70,83.16666667
30,153079,S. Ag?ero,ST,51000000,1,260000,173,70,FC Barcelona,Argentina,Yes,89,75,87,27.66666667,81.2,78.8,80.8,77.4,27.66666667,71
31,167948,H. Lloris,GK,13500000,1,125000,188,82,Tottenham Hotspur,France,Yes,,,,19,18.8,23,63.4,44.2,19,37.16666667
32,177003,L. Modri?,CM,32000000,1,190000,172,66,Real Madrid CF,Croatia,Yes,76,89,88,72,76,85.4,83.4,73.8,72,80.66666667
33,183898,?. Di Mar?a,RWLW,49500000,1,160000,180,69,Paris Saint-Germain,Argentina,Yes,81,86,87,49.33333333,76,87.2,84,76.4,49.33333333,74.33333333
34,186153,W. Szcz?sny,GK,42000000,1,105000,195,90,Juventus,Poland,Yes,,,,15,17.2,19.8,57.2,50,15,33.33333333
35,189596,T. M?ller,CAMRMRW,66000000,1,140000,185,76,FC Bayern M?nchen,Germany,Yes,84,83,80,50,84.6,76,74.2,77.8,50,75.83333333
36,192387,C. Immobile,ST,67500000,1,125000,185,85,Lazio,Italy,Yes,87,67,81,33,78.4,67.4,84.2,80.4,33,74.33333333
37,195864,P. Pogba,CMLM,79500000,1,220000,191,84,Manchester United,France,Yes,81,86,86,63,79.6,87.4,72.6,84.4,63,80.16666667
38,199556,M. Verratti,CMCAM,79500000,1,155000,165,60,Paris Saint-Germain,Italy,Yes,61,87,91,81.33333333,70.6,84.2,80,63,81.33333333,83.16666667
39,207865,Marquinhos,CBCDM,90500000,1,135000,183,75,Paris Saint-Germain,Brazil,Yes,53,75,74,89,65.2,64.6,77,72.6,89,74.83333333
40,209658,L. Goretzka,CMCDM,93000000,1,140000,189,82,FC Bayern M?nchen,Germany,Yes,82,82,84,78.66666667,79.6,81.2,79.2,85.2,78.66666667,79.66666667
41,211110,P. Dybala,CFCAM,93000000,1,160000,177,75,Juventus,Argentina,Yes,86,86,90,37.33333333,80.2,88,86.8,75.8,37.33333333,70.16666667
43,228702,F. de Jong,CMCDMCB,119500000,1,210000,180,74,FC Barcelona,Netherlands,Yes,69,85,88,76.33333333,76.6,82.4,83.4,74.8,76.33333333,75.83333333
44,231281,T. Alexander-Arnold,RB,114000000,1,150000,180,69,Liverpool,England,Yes,68,88,80,80.66666667,73.8,85.2,77,74.8,80.66666667,76
45,233049,J. Sancho,RMCFLM,116500000,1,150000,180,76,Manchester United,England,Yes,76,82,91,34.33333333,74.6,80.2,85.8,66.8,34.33333333,66.83333333
46,239818,R?ben Dias,CB,102500000,1,170000,187,82,Manchester City,Portugal,Yes,38,65,68,88,56.6,61.2,64.8,70,88,65.5
47,138956,G. Chiellini,CB,12000000,1,88000,187,85,Juventus,Italy,Yes,46,60,59,90,56.6,54.4,65.2,76,90,64.66666667
49,178603,M. Hummels,CB,44000000,1,95000,191,96,Borussia Dortmund,Germany,Yes,59,77,73,88.66666667,70.6,70.6,64.4,68.4,88.66666667,75.66666667
50,189332,Jordi Alba,LBLM,47000000,1,200000,170,68,FC Barcelona,Spain,Yes,69,81,83,77.33333333,74.6,77.6,85.6,71.6,77.33333333,76
51,189509,Thiago,CMCDM,65000000,1,180000,174,70,Liverpool,Spain,Yes,72,86,90,68.66666667,74.4,86.6,78.4,72.2,68.66666667,79.5
52,189511,Sergio Busquets,CDMCM,45000000,1,200000,189,76,FC Barcelona,Spain,Yes,62,79,80,82.33333333,65.6,77.2,57.2,66.2,82.33333333,79.33333333
53,189513,Parejo,CM,53500000,1,64000,182,74,Villarreal CF,Spain,Yes,83,90,81,69.66666667,78.8,87.2,63.2,73.2,69.66666667,80.5
54,192984,K. Casteels,GK,52000000,1,88000,197,86,VfL Wolfsburg,Belgium,Yes,,,,15.66666667,18.4,21.4,53.2,50.4,15.66666667,27.66666667
55,198219,L. Insigne,LWCF,65500000,1,125000,163,59,Napoli,Italy,Yes,78,85,90,33,74.6,88,87,63.2,33,66.33333333
56,201024,K. Koulibaly,CB,55500000,1,105000,187,89,Napoli,Senegal,Yes,28,51,65,88,42.6,50.4,65.8,63.2,88,61.66666667
57,201535,R. Varane,CB,68500000,1,180000,191,81,Manchester United,France,Yes,49,64,65,87,58.8,61.4,69.8,69.6,87,67.5
59,208093,Gerard Moreno,STRMRW,68000000,1,73000,180,77,Villarreal CF,Spain,Yes,86,77,84,42,82,76.6,78.8,79.2,42,71.83333333
60,208830,J. Vardy,ST,33000000,1,180000,179,74,Leicester City,England,Yes,84,70,80,50.33333333,79.2,69.6,82.6,75.2,50.33333333,79.5
61,209499,Fabinho,CDMCB,73500000,1,165000,188,78,Liverpool,Brazil,Yes,69,78,78,86,68.8,73,69.4,79,86,81.83333333
62,210514,Jo?o Cancelo,RBLB,71500000,1,185000,182,74,Manchester City,Portugal,Yes,71,83,84,80.33333333,74.6,80.2,82.6,75.8,80.33333333,74.5
63,212218,A. Laporte,CB,77000000,1,185000,191,85,Manchester City,Spain,Yes,50,72,69,86.33333333,61.8,70.2,66,70.2,86.33333333,69.16666667
64,213345,K. Coman,LMRMLW,81000000,1,120000,180,76,FC Bayern M?nchen,France,Yes,76,79,88,25.66666667,74.4,80.8,89.4,71.8,25.66666667,62
65,218667,Bernardo Silva,CAMCMRW,80000000,1,200000,173,64,Manchester City,Portugal,Yes,76,83,91,52.33333333,73.8,81.8,86,70,52.33333333,74.33333333
66,226161,Marcos Llorente,CMRMST,88000000,1,95000,184,74,Atl?tico de Madrid,Spain,Yes,80,81,82,77.66666667,74.4,76,82.6,80.2,77.66666667,80.83333333
67,231866,Rodri,CDM,81000000,1,175000,191,82,Manchester City,Spain,Yes,70,77,78,81.66666667,69.8,72.4,66.4,80,81.66666667,74
69,143076,A. G?mez,CAMCFCM,33500000,1,51000,167,68,Sevilla FC,Argentina,Yes,78,84,87,38,71,83,89.2,70,38,69.83333333
70,163587,K. Schmeichel,GK,9000000,1,115000,189,89,Leicester City,Denmark,Yes,,,,13.66666667,21,25.2,57.2,46.4,13.66666667,36.66666667
71,164240,Thiago Silva,CB,9500000,1,105000,183,79,Chelsea,Brazil,Yes,54,72,72,85.66666667,64.4,69.8,64.2,74.8,85.66666667,73.33333333
72,168542,David Silva,CAMCM,22000000,1,44000,173,67,Real Sociedad,Spain,Yes,74,87,87,46.66666667,76,83.6,77,63.4,46.66666667,74.66666667
73,177683,Y. Sommer,GK,26500000,1,40000,183,79,Borussia M?nchengladbach,Switzerland,Yes,,,,13.33333333,16.8,19.2,59.4,52.2,13.33333333,36.5
74,179813,E. Cavani,ST,26000000,1,190000,185,77,Manchester United,Uruguay,Yes,86,70,76,44,81.2,71.4,69.4,82,44,78.83333333
75,183277,E. Hazard,LW,52000000,1,240000,175,74,Real Madrid CF,Belgium,Yes,80,82,88,27.66666667,76.6,84,84.6,70.4,27.66666667,73
76,184344,L. Bonucci,CB,17500000,1,110000,190,85,Juventus,Italy,Yes,58,69,72,84.66666667,62.8,69,64.4,76,84.66666667,72.16666667
78,186942,?. G?ndo?an,CMCDM,51500000,1,185000,180,80,Manchester City,Germany,Yes,80,85,86,72.66666667,74.2,85.2,74.2,73.6,72.66666667,80.5
79,188350,M. Reus,CAMCF,43000000,1,95000,180,71,Borussia Dortmund,Germany,Yes,84,84,85,48,76.6,84.6,79.6,74,48,72
80,188377,K. Walker,RB,39000000,1,170000,183,83,Manchester City,England,Yes,63,76,78,81.33333333,67.6,76.8,80.6,80.8,81.33333333,73.16666667
82,193747,Koke,CMCDM,52500000,1,90000,176,75,Atl?tico de Madrid,Spain,Yes,75,85,81,77.66666667,72,81.6,76.8,78,77.66666667,80.66666667
83,194765,A. Griezmann,STLWRW,53000000,1,220000,176,73,Atl?tico de Madrid,France,Yes,84,84,87,48.66666667,84,85.4,84.8,80.8,48.66666667,77.5
84,198176,S. de Vrij,CB,45000000,1,145000,189,78,Inter,Netherlands,Yes,41,64,70,87,52,54.6,69.6,72.6,87,65.16666667
85,201942,Roberto Firmino,CF,54000000,1,185000,181,76,Liverpool,Brazil,Yes,78,79,89,53.66666667,79.2,80.2,82.2,79.4,53.66666667,76.33333333
86,202556,M. Depay,CFLWCAM,63000000,1,220000,176,78,FC Barcelona,Netherlands,Yes,83,82,84,24.66666667,77.4,83,81.6,80.2,24.66666667,71
87,204963,Carvajal,RB,47500000,1,210000,173,73,Real Madrid CF,Spain,Yes,54,78,80,82.66666667,67.4,71.6,80.4,71,82.66666667,73.33333333
88,205498,Jorginho,CMCDM,52500000,1,170000,180,68,Chelsea,Italy,Yes,67,86,81,73,71.6,81.2,68.4,68.8,73,81.5
89,206113,S. Gnabry,RMLMRW,64500000,1,110000,176,77,FC Bayern M?nchen,Germany,Yes,84,79,86,44,73.4,77,85.6,76,44,69.66666667
90,223848,S. Milinkovi?-Savi?,CMCDMCAM,66000000,1,100000,191,76,Lazio,Serbia,Yes,79,80,81,77,77.8,82.6,68.8,85.2,77,76.33333333
91,226790,W. Ndidi,CDMCM,66500000,1,120000,183,74,Leicester City,Nigeria,Yes,62,69,74,87.33333333,64.2,68.8,71.2,81.6,87.33333333,74.66666667
92,230142,Oyarzabal,LWRW,77500000,1,57000,181,79,Real Sociedad,Spain,Yes,82,81,84,39,76.6,78.2,81.6,74.4,39,69.66666667
93,231478,L. Mart?nez,ST,78000000,1,145000,174,72,Inter,Argentina,Yes,81,72,85,43.33333333,78.8,72.4,86.6,81.2,43.33333333,75.83333333
94,231677,M. Rashford,LMST,77500000,1,150000,186,70,Manchester United,England,Yes,84,79,84,38.66666667,76.8,80,84.4,81.6,38.66666667,73.83333333
95,235212,A. Hakimi,RBRWB,69500000,1,100000,181,73,Paris Saint-Germain,Morocco,Yes,71,78,83,76.33333333,73.6,72.6,87.8,78.2,76.33333333,72
96,235243,M. de Ligt,CB,75000000,1,81000,189,89,Juventus,Netherlands,Yes,59,60,69,84.66666667,61.4,60.8,70.4,81.8,84.66666667,62.5
97,41236,Z. Ibrahimovi?,ST,14500000,1,51000,195,95,AC Milan,Sweden,Yes,87,78,79,29.66666667,81.8,78.4,67.4,78.8,29.66666667,75
98,146536,Jes?s Navas,RBRM,13000000,1,30000,172,60,Sevilla FC,Spain,Yes,69,81,83,79.33333333,76.2,74.8,84.8,65.6,79.33333333,76.16666667
99,152729,Piqu?,CB,13500000,1,175000,194,85,FC Barcelona,Spain,Yes,61,71,68,84.66666667,68.6,64.8,58.2,67.2,84.66666667,76
100,175943,D. Mertens,CFSTCAM,20500000,1,105000,169,61,Napoli,Belgium,Yes,82,80,88,34.33333333,70.2,82.4,87,64.4,34.33333333,70.16666667
101,181291,G. Wijnaldum,CMCDM,40500000,1,115000,175,74,Paris Saint-Germain,Netherlands,Yes,75,80,86,76.33333333,77,81,82.4,79.8,76.33333333,78.83333333
102,183711,J. Henderson,CDMCM,29500000,1,140000,182,80,Liverpool,England,Yes,74,83,79,78.66666667,75.2,80.4,71,78.8,78.66666667,78
103,184134,Fernando,CDMCM,21000000,1,43000,183,76,Sevilla FC,Brazil,Yes,62,75,74,84,66,69.2,69.4,76.6,84,72.83333333
104,186345,K. Trippier,RBRWBRM,36500000,1,74000,173,69,Atl?tico de Madrid,England,Yes,63,82,77,80,71.6,80.8,75.6,74.8,80,75.33333333
105,192629,Iago Aspas,STRW,27000000,1,46000,176,67,RC Celta de Vigo,Spain,Yes,85,79,86,26,81.8,81.6,82,71,26,72.33333333
106,193080,De Gea,GK,28000000,1,120000,192,82,Manchester United,Spain,Yes,,,,19.66666667,22.4,27.8,60.8,46.8,19.66666667,38.83333333
108,198706,Luis Alberto,CAMCMCF,42500000,1,95000,183,74,Lazio,Spain,Yes,76,86,84,56,72.6,86.2,69.2,69.2,56,65
109,199434,D. Tadi?,LWCFCAM,33500000,1,32000,181,76,Ajax,Serbia,Yes,81,85,85,37,80.4,83.2,76,76.6,37,73.66666667
110,199451,W. Ben Yedder,ST,41500000,1,88000,170,68,AS Monaco,France,Yes,84,77,87,31,80.4,79.6,86.4,76,31,74.33333333
111,200458,L. Digne,LB,40500000,1,110000,178,74,Everton,France,Yes,69,80,80,81.66666667,73.6,80.2,78.6,81.6,81.66666667,74.5
113,202811,E. Mart?nez,GK,33500000,1,81000,195,88,Aston Villa,Argentina,Yes,,,,17,25.4,28.2,58.8,49.6,17,38.33333333
114,203263,H. Maguire,CB,42500000,1,155000,194,100,Manchester United,England,Yes,55,69,70,82.66666667,62.2,65,55,76.8,82.66666667,71.66666667
117,205988,L. Shaw,LB,48500000,1,140000,181,75,Manchester United,England,Yes,54,79,80,81.66666667,69,73.6,78.2,73.2,81.66666667,74.83333333
118,206517,J. Grealish,LWLMCAM,50500000,1,180000,180,81,Manchester City,England,Yes,76,83,88,46.66666667,70.2,82.2,81.6,66.6,46.66666667,69.33333333
119,207862,M. Ginter,CB,42500000,1,45000,191,86,Borussia M?nchengladbach,Germany,Yes,58,72,66,85,67.8,60,62.6,71.2,85,70.5
120,207863,Felipe,CB,27500000,1,74000,190,84,Atl?tico de Madrid,Brazil,Yes,41,58,62,84.33333333,56.8,50.4,64,66.8,84.33333333,63.33333333
121,208418,Y. Carrasco,LMST,45000000,1,81000,185,73,Atl?tico de Madrid,Belgium,Yes,81,78,85,42,72.8,81.2,83.4,75.8,42,70.83333333
122,208574,F. Kosti?,LMLWB,42500000,1,52000,184,82,Eintracht Frankfurt,Serbia,Yes,77,82,83,69.66666667,75,80.2,82.8,79.4,69.66666667,74.5
123,208670,H. Ziyech,RWCAM,42500000,1,170000,181,65,Chelsea,Morocco,Yes,76,87,83,46.66666667,74.6,85,80.6,66.4,46.66666667,73.66666667
124,209889,R. Guerreiro,LBLM,40500000,1,79000,170,71,Borussia Dortmund,Portugal,Yes,77,85,88,78.66666667,74.2,84.8,83,68.2,78.66666667,71.5
125,210243,Ricardo Pereira,RBRM,40500000,1,130000,175,70,Leicester City,Portugal,Yes,67,78,82,82.33333333,71.2,74.2,81.8,73.2,82.33333333,75.5
126,212188,T. Werner,STLW,56500000,1,155000,180,76,Chelsea,Germany,Yes,81,70,82,26,77.8,69.8,85.4,77,26,68.83333333
127,215698,M. Maignan,GK,49500000,1,45000,191,89,AC Milan,France,No,,,,19.33333333,24.2,32.4,55.2,55,19.33333333,35
128,216352,M. Brozovi?,CDMCM,37000000,1,130000,181,68,Inter,Croatia,Yes,74,80,79,79.33333333,72.2,79.4,75.4,79,79.33333333,77.83333333
129,216393,Y. Tielemans,CMCDM,57000000,1,125000,176,72,Leicester City,Belgium,Yes,79,86,80,70.66666667,78,82.2,70.6,77.8,70.66666667,78
130,216460,J. Gim?nez,CB,52000000,1,74000,185,79,Atl?tico de Madrid,Uruguay,Yes,45,57,59,86.66666667,53.4,53.4,61.8,71.2,86.66666667,59.33333333
131,216594,N. Fekir,CAMRMST,45000000,1,42000,173,75,Real Betis Balompi?,France,Yes,83,82,87,35.33333333,74.4,83,83.8,78.4,35.33333333,73.5
132,222492,L. San?,RMLM,56000000,1,105000,183,80,FC Bayern M?nchen,Germany,Yes,81,79,85,34.33333333,80.4,80,84.4,73.4,34.33333333,69
133,224232,N. Barella,CM,63500000,1,120000,172,68,Inter,Italy,Yes,71,79,86,76,70.4,78.2,85.2,76.6,76,81.16666667
134,224334,M. Acu?a,LBLM,37000000,1,45000,172,69,Sevilla FC,Argentina,No,74,82,87,82,72.2,83.2,81.8,79.2,82,81.5
135,228941,Andr? Silva,ST,51000000,1,110000,185,84,RB Leipzig,Portugal,Yes,84,69,83,32.33333333,79.2,68.2,77.2,80.8,32.33333333,78.16666667
137,232656,T. Hern?ndez,LB,62500000,1,51000,184,81,AC Milan,France,Yes,71,76,81,77.66666667,74,72.6,84.6,77.8,77.66666667,74
138,235790,K. Havertz,CAMCFCM,94500000,1,130000,188,82,Chelsea,Germany,Yes,78,79,84,41,79,77.2,79.8,74.4,41,66.66666667
139,237692,P. Foden,CAMLWCM,94500000,1,125000,171,69,Manchester City,England,Yes,78,80,87,54.66666667,68.8,76.8,86.4,66.2,54.66666667,72.5
140,135507,Fernandinho,CDMCB,7000000,1,100000,179,67,Manchester City,Brazil,Yes,72,75,78,84,71.6,75.4,70.2,76.8,84,74.83333333
141,169416,C. Vela,RWLWCAM,29000000,1,17000,177,77,Los Angeles FC,Mexico,Yes,82,78,84,22.33333333,78.6,78,81.4,73,22.33333333,69
142,177413,A. Witsel,CDMCM,24000000,1,72000,186,81,Borussia Dortmund,Belgium,Yes,72,81,79,80.66666667,78.2,76.2,69.4,76.4,80.66666667,79.33333333
143,178750,Sergio Asenjo,GK,18000000,1,37000,189,87,Villarreal CF,Spain,No,,,,17.66666667,21,22.6,62.6,51.8,17.66666667,29.83333333
144,179645,S. Kj?r,CB,23500000,1,54000,190,86,AC Milan,Denmark,Yes,55,64,59,84.33333333,59.8,62.6,64.6,69.4,84.33333333,63.83333333
146,183907,J. Boateng,CB,23500000,1,81000,190,94,Olympique Lyonnais,Germany,Yes,50,73,67,84,63,60.4,67,71.4,84,70.16666667
148,184432,Azpilicueta,CBRWB,25000000,1,125000,178,77,Chelsea,Spain,Yes,55,76,72,84.66666667,66.6,70.2,71.6,71.6,84.66666667,74.83333333
149,187961,Paulinho,CMCAMCDM,28500000,1,61000,183,80,Al Ahli,Brazil,Yes,81,77,81,78,78.4,76.4,76.6,85.6,78,79.66666667
150,189575,Muniain,CAMRMLM,36500000,1,44000,170,66,Athletic Club de Bilbao,Spain,Yes,76,82,87,50.33333333,71.2,82,85.4,69.4,50.33333333,69.83333333
151,190286,Canales,CMCDMLM,34500000,1,38000,176,65,Real Betis Balompi?,Spain,Yes,80,85,82,64.33333333,72.2,84.2,82.4,70.2,64.33333333,79.83333333
153,191043,Alex Sandro,LBLM,31500000,1,95000,180,80,Juventus,Brazil,Yes,65,77,79,78.66666667,72.8,73.4,79.2,77.8,78.66666667,72.66666667
154,192563,B. Leno,GK,28000000,1,87000,190,83,Arsenal,Germany,Yes,,,,20,18.2,23.2,57,51.4,20,33.5
157,193082,J. Cuadrado,RBRM,19000000,1,95000,179,72,Juventus,Colombia,Yes,75,77,87,79.33333333,74.4,78.6,87.4,77.6,79.33333333,72.83333333
159,197655,S. Coates,CB,30000000,1,21000,196,92,Sporting CP,Uruguay,Yes,49,55,63,85.33333333,55.2,53,56,62.2,85.33333333,71
160,199845,F. Acerbi,CB,17500000,1,75000,192,88,Lazio,Italy,No,50,62,64,86.33333333,51.6,66.8,55.6,75.4,86.33333333,67.5
161,199914,Allan,CDMCM,30500000,1,100000,175,74,Everton,Brazil,Yes,71,77,82,83.66666667,68,72,78.6,73.6,83.66666667,76.5
162,200610,K. Volland,STCF,37000000,1,83000,179,85,AS Monaco,Germany,Yes,85,79,80,35,81.2,78.6,77.8,85,35,75.16666667
163,201153,Morata,ST,37000000,1,84000,190,84,Juventus,Spain,Yes,80,72,81,23.66666667,80,69.6,75.8,78.6,23.66666667,68.5
164,201399,M. Icardi,ST,37000000,1,120000,181,75,Paris Saint-Germain,Argentina,Yes,83,65,77,29.66666667,76,67.6,73,77.4,29.66666667,68
165,202884,L. Spinazzola,LWBLBLM,33000000,1,72000,186,75,Roma,Italy,Yes,64,73,80,78,70,66.8,83.2,70.4,78,71.33333333
166,203574,J. Stones,CB,41000000,1,140000,188,76,Manchester City,England,Yes,51,71,74,83.66666667,65,63.8,68.4,67.4,83.66666667,69
167,203841,N. Pope,GK,25000000,1,45000,199,76,Burnley,England,Yes,,,,14.33333333,16.4,19.8,50.6,51,14.33333333,33.33333333
168,204838,R. Jim?nez,ST,35500000,1,120000,188,81,Wolverhampton Wanderers,Mexico,Yes,82,76,81,37.66666667,81,73.4,73,79.6,37.66666667,78.16666667
169,204935,J. Pickford,GK,33000000,1,83000,185,77,Everton,England,Yes,,,,17.66666667,25.2,28.8,57.4,54,17.66666667,44.33333333
170,205452,A. R?diger,CB,34500000,1,130000,190,85,Chelsea,Germany,Yes,43,68,64,84.33333333,58.2,58.6,67.2,71.4,84.33333333,63.83333333
171,205632,L. Ocampos,LWRW,39500000,1,46000,188,84,Sevilla FC,Argentina,No,84,78,83,58,80.6,77.2,77.4,83.2,58,79.66666667
172,207410,M. Kova?i?,CMCDM,41500000,1,135000,176,80,Chelsea,Croatia,Yes,69,83,88,69.66666667,68.4,81.8,78.8,74.2,69.66666667,74.5
174,211688,Gay?,LBLWBLM,43500000,1,48000,172,66,Valencia CF,Spain,Yes,61,77,80,81.66666667,67.6,73,82,65.4,81.66666667,72.5
175,213565,T. Lemar,LMCMRM,48000000,1,71000,171,66,Atl?tico de Madrid,France,Yes,76,82,86,59,74.2,83.2,83,71.2,59,73.16666667
176,213648,P. H?jbjerg,CDMCM,43500000,1,105000,185,84,Tottenham Hotspur,Denmark,Yes,71,76,76,80,67.8,76,66,78.8,80,73.33333333
177,214997,?. Correa,STRM,48000000,1,80000,171,70,Atl?tico de Madrid,Argentina,Yes,83,78,87,46.33333333,78.2,77.6,86.4,74.2,46.33333333,71
178,215333,D. Zapata,ST,35500000,1,77000,189,88,Atalanta,Colombia,Yes,81,61,78,30,73.6,65,73.2,79.6,30,66
179,216354,A. Kramari?,STCAM,35500000,1,59000,177,73,TSG Hoffenheim,Croatia,Yes,86,76,86,27,79.6,78.6,79.4,77,27,71.33333333
180,220651,Angeli?o,LWBLM,46000000,1,77000,175,69,RB Leipzig,Spain,Yes,71,82,84,77,73.4,81.6,81.6,73.4,77,75.16666667
181,220814,L. Hern?ndez,LBCB,44500000,1,85000,184,79,FC Bayern M?nchen,France,Yes,54,68,71,85.33333333,66.6,60.4,75.4,70.4,85.33333333,69
182,220834,Marco Asensio,RWLW,48000000,1,190000,182,76,Real Madrid CF,Spain,Yes,80,81,83,40.33333333,75,82,79.4,73.2,40.33333333,65.83333333
183,223689,W. Weghorst,ST,37000000,1,95000,197,84,VfL Wolfsburg,Netherlands,No,83,59,70,47,76,52.8,63.2,82.2,47,71.33333333
184,223697,R. Gosens,LWBLBLM,36000000,1,65000,183,76,Atalanta,Germany,No,75,74,79,77.33333333,78.8,73.2,77.2,79.4,77.33333333,71.66666667
185,225193,Merino,CM,50000000,1,47000,189,83,Real Sociedad,Spain,Yes,78,81,82,80,75.8,79.6,76,81.2,80,77.33333333
186,225850,P. Kimpembe,CB,45500000,1,90000,189,80,Paris Saint-Germain,France,Yes,42,68,70,83.66666667,56.6,59.6,74,70.8,83.66666667,70.33333333
187,228618,F. Mendy,LB,43500000,1,170000,180,73,Real Madrid CF,France,Yes,64,76,79,79.33333333,68.6,68.6,84.8,76.8,79.33333333,73.83333333
188,229880,A. Wan-Bissaka,RB,48500000,1,115000,183,72,Manchester United,England,Yes,52,69,79,85.66666667,57.8,66.6,81.8,67.2,85.66666667,69.66666667
189,230481,Ronaldo Cabrais,CAMRM,35500000,1,49000,177,75,Gr?mio,Brazil,No,77,83,84,30.66666667,76,82.8,83.6,77,30.66666667,70.83333333
190,230658,Arthur,CM,47000000,1,90000,171,73,Juventus,Brazil,Yes,67,83,88,72.66666667,69.2,81,79.4,72.8,72.66666667,76.16666667
191,230666,Gabriel Jesus,ST,52500000,1,150000,175,73,Manchester City,Brazil,Yes,81,72,86,34.33333333,76.2,73.6,86.6,77,34.33333333,70.5
192,231443,O. Demb?l?,RW,55000000,1,165000,178,67,FC Barcelona,France,Yes,77,77,86,35,70.6,79,86.8,67.2,35,66.33333333
