,sofifa_id,short_name,overall,player_positions,value_eur,league_level,wage_eur,height_cm,weight_kg,player_face_url,club_name,nationality_name,real_face,shooting,passing,dribbling,defending,attacking,skill,movement,power,defending,mentality
31,167948,H. Lloris,87,GK,13500000.0,1.0,125000.0,188,82,https://cdn.sofifa.net/players/167/948/22_120.png,Tottenham Hotspur,France,Yes,,,,19.0,18.8,23.0,63.4,44.2,19.0,37.166666666666664
32,177003,L. Modrić,87,CM,32000000.0,1.0,190000.0,172,66,https://cdn.sofifa.net/players/177/003/22_120.png,Real Madrid CF,Croatia,Yes,76.0,89.0,88.0,72.0,76.0,85.4,83.4,73.8,72.0,80.66666666666667
33,183898,Á. Di María,87,"RW, LW",49500000.0,1.0,160000.0,180,69,https://cdn.sofifa.net/players/183/898/22_120.png,Paris Saint-Germain,Argentina,Yes,81.0,86.0,87.0,49.333333333333336,76.0,87.2,84.0,76.4,49.333333333333336,74.33333333333333
34,186153,W. Szczęsny,87,GK,42000000.0,1.0,105000.0,195,90,https://cdn.sofifa.net/players/186/153/22_120.png,Juventus,Poland,Yes,,,,15.0,17.2,19.8,57.2,50.0,15.0,33.333333333333336
35,189596,T. Müller,87,"CAM, RM, RW",66000000.0,1.0,140000.0,185,76,https://cdn.sofifa.net/players/189/596/22_120.png,FC Bayern München,Germany,Yes,84.0,83.0,80.0,50.0,84.6,76.0,74.2,77.8,50.0,75.83333333333333
36,192387,C. Immobile,87,ST,67500000.0,1.0,125000.0,185,85,https://cdn.sofifa.net/players/192/387/22_120.png,Lazio,Italy,Yes,87.0,67.0,81.0,33.0,78.4,67.4,84.2,80.4,33.0,74.33333333333333
37,195864,P. Pogba,87,"CM, LM",79500000.0,1.0,220000.0,191,84,https://cdn.sofifa.net/players/195/864/22_120.png,Manchester United,France,Yes,81.0,86.0,86.0,63.0,79.6,87.4,72.6,84.4,63.0,80.16666666666667
38,199556,M. Verratti,87,"CM, CAM",79500000.0,1.0,155000.0,165,60,https://cdn.sofifa.net/players/199/556/22_120.png,Paris Saint-Germain,Italy,Yes,61.0,87.0,91.0,81.33333333333333,70.6,84.2,80.0,63.0,81.33333333333333,83.16666666666667
39,207865,Marquinhos,87,"CB, CDM",90500000.0,1.0,135000.0,183,75,https://cdn.sofifa.net/players/207/865/22_120.png,Paris Saint-Germain,Brazil,Yes,53.0,75.0,74.0,89.0,65.2,64.6,77.0,72.6,89.0,74.83333333333333
40,209658,L. Goretzka,87,"CM, CDM",93000000.0,1.0,140000.0,189,82,https://cdn.sofifa.net/players/209/658/22_120.png,FC Bayern München,Germany,Yes,82.0,82.0,84.0,78.66666666666667,79.6,81.2,79.2,85.2,78.66666666666667,79.66666666666667
41,211110,P. Dybala,87,"CF, CAM",93000000.0,1.0,160000.0,177,75,https://cdn.sofifa.net/players/211/110/22_120.png,Juventus,Argentina,Yes,86.0,86.0,90.0,37.333333333333336,80.2,88.0,86.8,75.8,37.333333333333336,70.16666666666667
43,228702,F. de Jong,87,"CM, CDM, CB",119500000.0,1.0,210000.0,180,74,https://cdn.sofifa.net/players/228/702/22_120.png,FC Barcelona,Netherlands,Yes,69.0,85.0,88.0,76.33333333333333,76.6,82.4,83.4,74.8,76.33333333333333,75.83333333333333
44,231281,T. Alexander-Arnold,87,RB,114000000.0,1.0,150000.0,180,69,https://cdn.sofifa.net/players/231/281/22_120.png,Liverpool,England,Yes,68.0,88.0,80.0,80.66666666666667,73.8,85.2,77.0,74.8,80.66666666666667,76.0
45,233049,J. Sancho,87,"RM, CF, LM",116500000.0,1.0,150000.0,180,76,https://cdn.sofifa.net/players/233/049/22_120.png,Manchester United,England,Yes,76.0,82.0,91.0,34.333333333333336,74.6,80.2,85.8,66.8,34.333333333333336,66.83333333333333
46,239818,Rúben Dias,87,CB,102500000.0,1.0,170000.0,187,82,https://cdn.sofifa.net/players/239/818/22_120.png,Manchester City,Portugal,Yes,38.0,65.0,68.0,88.0,56.6,61.2,64.8,70.0,88.0,65.5
47,138956,G. Chiellini,86,CB,12000000.0,1.0,88000.0,187,85,https://cdn.sofifa.net/players/138/956/22_120.png,Juventus,Italy,Yes,46.0,60.0,59.0,90.0,56.6,54.4,65.2,76.0,90.0,64.66666666666667
49,178603,M. Hummels,86,CB,44000000.0,1.0,95000.0,191,96,https://cdn.sofifa.net/players/178/603/22_120.png,Borussia Dortmund,Germany,Yes,59.0,77.0,73.0,88.66666666666667,70.6,70.6,64.4,68.4,88.66666666666667,75.66666666666667
50,189332,Jordi Alba,86,"LB, LM",47000000.0,1.0,200000.0,170,68,https://cdn.sofifa.net/players/189/332/22_120.png,FC Barcelona,Spain,Yes,69.0,81.0,83.0,77.33333333333333,74.6,77.6,85.6,71.6,77.33333333333333,76.0
51,189509,Thiago,86,"CM, CDM",65000000.0,1.0,180000.0,174,70,https://cdn.sofifa.net/players/189/509/22_120.png,Liverpool,Spain,Yes,72.0,86.0,90.0,68.66666666666667,74.4,86.6,78.4,72.2,68.66666666666667,79.5
52,189511,Sergio Busquets,86,"CDM, CM",45000000.0,1.0,200000.0,189,76,https://cdn.sofifa.net/players/189/511/22_120.png,FC Barcelona,Spain,Yes,62.0,79.0,80.0,82.33333333333333,65.6,77.2,57.2,66.2,82.33333333333333,79.33333333333333
53,189513,Parejo,86,CM,53500000.0,1.0,64000.0,182,74,https://cdn.sofifa.net/players/189/513/22_120.png,Villarreal CF,Spain,Yes,83.0,90.0,81.0,69.66666666666667,78.8,87.2,63.2,73.2,69.66666666666667,80.5
54,192984,K. Casteels,86,GK,52000000.0,1.0,88000.0,197,86,https://cdn.sofifa.net/players/192/984/22_120.png,VfL Wolfsburg,Belgium,Yes,,,,15.666666666666666,18.4,21.4,53.2,50.4,15.666666666666666,27.666666666666668
55,198219,L. Insigne,86,"LW, CF",65500000.0,1.0,125000.0,163,59,https://cdn.sofifa.net/players/198/219/22_120.png,Napoli,Italy,Yes,78.0,85.0,90.0,33.0,74.6,88.0,87.0,63.2,33.0,66.33333333333333
56,201024,K. Koulibaly,86,CB,55500000.0,1.0,105000.0,187,89,https://cdn.sofifa.net/players/201/024/22_120.png,Napoli,Senegal,Yes,28.0,51.0,65.0,88.0,42.6,50.4,65.8,63.2,88.0,61.666666666666664
57,201535,R. Varane,86,CB,68500000.0,1.0,180000.0,191,81,https://cdn.sofifa.net/players/201/535/22_120.png,Manchester United,France,Yes,49.0,64.0,65.0,87.0,58.8,61.4,69.8,69.6,87.0,67.5
59,208093,Gerard Moreno,86,"ST, RM, RW",68000000.0,1.0,73000.0,180,77,https://cdn.sofifa.net/players/208/093/22_120.png,Villarreal CF,Spain,Yes,86.0,77.0,84.0,42.0,82.0,76.6,78.8,79.2,42.0,71.83333333333333
60,208830,J. Vardy,86,ST,33000000.0,1.0,180000.0,179,74,https://cdn.sofifa.net/players/208/830/22_120.png,Leicester City,England,Yes,84.0,70.0,80.0,50.333333333333336,79.2,69.6,82.6,75.2,50.333333333333336,79.5
61,209499,Fabinho,86,"CDM, CB",73500000.0,1.0,165000.0,188,78,https://cdn.sofifa.net/players/209/499/22_120.png,Liverpool,Brazil,Yes,69.0,78.0,78.0,86.0,68.8,73.0,69.4,79.0,86.0,81.83333333333333
62,210514,João Cancelo,86,"RB, LB",71500000.0,1.0,185000.0,182,74,https://cdn.sofifa.net/players/210/514/22_120.png,Manchester City,Portugal,Yes,71.0,83.0,84.0,80.33333333333333,74.6,80.2,82.6,75.8,80.33333333333333,74.5
63,212218,A. Laporte,86,CB,77000000.0,1.0,185000.0,191,85,https://cdn.sofifa.net/players/212/218/22_120.png,Manchester City,Spain,Yes,50.0,72.0,69.0,86.33333333333333,61.8,70.2,66.0,70.2,86.33333333333333,69.16666666666667
64,213345,K. Coman,86,"LM, RM, LW",81000000.0,1.0,120000.0,180,76,https://cdn.sofifa.net/players/213/345/22_120.png,FC Bayern München,France,Yes,76.0,79.0,88.0,25.666666666666668,74.4,80.8,89.4,71.8,25.666666666666668,62.0
65,218667,Bernardo Silva,86,"CAM, CM, RW",80000000.0,1.0,200000.0,173,64,https://cdn.sofifa.net/players/218/667/22_120.png,Manchester City,Portugal,Yes,76.0,83.0,91.0,52.333333333333336,73.8,81.8,86.0,70.0,52.333333333333336,74.33333333333333
66,226161,Marcos Llorente,86,"CM, RM, ST",88000000.0,1.0,95000.0,184,74,https://cdn.sofifa.net/players/226/161/22_120.png,Atlético de Madrid,Spain,Yes,80.0,81.0,82.0,77.66666666666667,74.4,76.0,82.6,80.2,77.66666666666667,80.83333333333333
67,231866,Rodri,86,CDM,81000000.0,1.0,175000.0,191,82,https://cdn.sofifa.net/players/231/866/22_120.png,Manchester City,Spain,Yes,70.0,77.0,78.0,81.66666666666667,69.8,72.4,66.4,80.0,81.66666666666667,74.0
69,143076,A. Gómez,85,"CAM, CF, CM",33500000.0,1.0,51000.0,167,68,https://cdn.sofifa.net/players/143/076/22_120.png,Sevilla FC,Argentina,Yes,78.0,84.0,87.0,38.0,71.0,83.0,89.2,70.0,38.0,69.83333333333333
70,163587,K. Schmeichel,85,GK,9000000.0,1.0,115000.0,189,89,https://cdn.sofifa.net/players/163/587/22_120.png,Leicester City,Denmark,Yes,,,,13.666666666666666,21.0,25.2,57.2,46.4,13.666666666666666,36.666666666666664
71,164240,Thiago Silva,85,CB,9500000.0,1.0,105000.0,183,79,https://cdn.sofifa.net/players/164/240/22_120.png,Chelsea,Brazil,Yes,54.0,72.0,72.0,85.66666666666667,64.4,69.8,64.2,74.8,85.66666666666667,73.33333333333333
72,168542,David Silva,85,"CAM, CM",22000000.0,1.0,44000.0,173,67,https://cdn.sofifa.net/players/168/542/22_120.png,Real Sociedad,Spain,Yes,74.0,87.0,87.0,46.666666666666664,76.0,83.6,77.0,63.4,46.666666666666664,74.66666666666667
73,177683,Y. Sommer,85,GK,26500000.0,1.0,40000.0,183,79,https://cdn.sofifa.net/players/177/683/22_120.png,Borussia Mönchengladbach,Switzerland,Yes,,,,13.333333333333334,16.8,19.2,59.4,52.2,13.333333333333334,36.5
74,179813,E. Cavani,85,ST,26000000.0,1.0,190000.0,185,77,https://cdn.sofifa.net/players/179/813/22_120.png,Manchester United,Uruguay,Yes,86.0,70.0,76.0,44.0,81.2,71.4,69.4,82.0,44.0,78.83333333333333
75,183277,E. Hazard,85,LW,52000000.0,1.0,240000.0,175,74,https://cdn.sofifa.net/players/183/277/22_120.png,Real Madrid CF,Belgium,Yes,80.0,82.0,88.0,27.666666666666668,76.6,84.0,84.6,70.4,27.666666666666668,73.0
76,184344,L. Bonucci,85,CB,17500000.0,1.0,110000.0,190,85,https://cdn.sofifa.net/players/184/344/22_120.png,Juventus,Italy,Yes,58.0,69.0,72.0,84.66666666666667,62.8,69.0,64.4,76.0,84.66666666666667,72.16666666666667
78,186942,İ. Gündoğan,85,"CM, CDM",51500000.0,1.0,185000.0,180,80,https://cdn.sofifa.net/players/186/942/22_120.png,Manchester City,Germany,Yes,80.0,85.0,86.0,72.66666666666667,74.2,85.2,74.2,73.6,72.66666666666667,80.5
79,188350,M. Reus,85,"CAM, CF",43000000.0,1.0,95000.0,180,71,https://cdn.sofifa.net/players/188/350/22_120.png,Borussia Dortmund,Germany,Yes,84.0,84.0,85.0,48.0,76.6,84.6,79.6,74.0,48.0,72.0
80,188377,K. Walker,85,RB,39000000.0,1.0,170000.0,183,83,https://cdn.sofifa.net/players/188/377/22_120.png,Manchester City,England,Yes,63.0,76.0,78.0,81.33333333333333,67.6,76.8,80.6,80.8,81.33333333333333,73.16666666666667
82,193747,Koke,85,"CM, CDM",52500000.0,1.0,90000.0,176,75,https://cdn.sofifa.net/players/193/747/22_120.png,Atlético de Madrid,Spain,Yes,75.0,85.0,81.0,77.66666666666667,72.0,81.6,76.8,78.0,77.66666666666667,80.66666666666667
83,194765,A. Griezmann,85,"ST, LW, RW",53000000.0,1.0,220000.0,176,73,https://cdn.sofifa.net/players/194/765/22_120.png,Atlético de Madrid,France,Yes,84.0,84.0,87.0,48.666666666666664,84.0,85.4,84.8,80.8,48.666666666666664,77.5
84,198176,S. de Vrij,85,CB,45000000.0,1.0,145000.0,189,78,https://cdn.sofifa.net/players/198/176/22_120.png,Inter,Netherlands,Yes,41.0,64.0,70.0,87.0,52.0,54.6,69.6,72.6,87.0,65.16666666666667
85,201942,Roberto Firmino,85,CF,54000000.0,1.0,185000.0,181,76,https://cdn.sofifa.net/players/201/942/22_120.png,Liverpool,Brazil,Yes,78.0,79.0,89.0,53.666666666666664,79.2,80.2,82.2,79.4,53.666666666666664,76.33333333333333
86,202556,M. Depay,85,"CF, LW, CAM",63000000.0,1.0,220000.0,176,78,https://cdn.sofifa.net/players/202/556/22_120.png,FC Barcelona,Netherlands,Yes,83.0,82.0,84.0,24.666666666666668,77.4,83.0,81.6,80.2,24.666666666666668,71.0
87,204963,Carvajal,85,RB,47500000.0,1.0,210000.0,173,73,https://cdn.sofifa.net/players/204/963/22_120.png,Real Madrid CF,Spain,Yes,54.0,78.0,80.0,82.66666666666667,67.4,71.6,80.4,71.0,82.66666666666667,73.33333333333333
88,205498,Jorginho,85,"CM, CDM",52500000.0,1.0,170000.0,180,68,https://cdn.sofifa.net/players/205/498/22_120.png,Chelsea,Italy,Yes,67.0,86.0,81.0,73.0,71.6,81.2,68.4,68.8,73.0,81.5
89,206113,S. Gnabry,85,"RM, LM, RW",64500000.0,1.0,110000.0,176,77,https://cdn.sofifa.net/players/206/113/22_120.png,FC Bayern München,Germany,Yes,84.0,79.0,86.0,44.0,73.4,77.0,85.6,76.0,44.0,69.66666666666667
90,223848,S. Milinković-Savić,85,"CM, CDM, CAM",66000000.0,1.0,100000.0,191,76,https://cdn.sofifa.net/players/223/848/22_120.png,Lazio,Serbia,Yes,79.0,80.0,81.0,77.0,77.8,82.6,68.8,85.2,77.0,76.33333333333333
91,226790,W. Ndidi,85,"CDM, CM",66500000.0,1.0,120000.0,183,74,https://cdn.sofifa.net/players/226/790/22_120.png,Leicester City,Nigeria,Yes,62.0,69.0,74.0,87.33333333333333,64.2,68.8,71.2,81.6,87.33333333333333,74.66666666666667
92,230142,Oyarzabal,85,"LW, RW",77500000.0,1.0,57000.0,181,79,https://cdn.sofifa.net/players/230/142/22_120.png,Real Sociedad,Spain,Yes,82.0,81.0,84.0,39.0,76.6,78.2,81.6,74.4,39.0,69.66666666666667
93,231478,L. Martínez,85,ST,78000000.0,1.0,145000.0,174,72,https://cdn.sofifa.net/players/231/478/22_120.png,Inter,Argentina,Yes,81.0,72.0,85.0,43.333333333333336,78.8,72.4,86.6,81.2,43.333333333333336,75.83333333333333
94,231677,M. Rashford,85,"LM, ST",77500000.0,1.0,150000.0,186,70,https://cdn.sofifa.net/players/231/677/22_120.png,Manchester United,England,Yes,84.0,79.0,84.0,38.666666666666664,76.8,80.0,84.4,81.6,38.666666666666664,73.83333333333333
95,235212,A. Hakimi,85,"RB, RWB",69500000.0,1.0,100000.0,181,73,https://cdn.sofifa.net/players/235/212/22_120.png,Paris Saint-Germain,Morocco,Yes,71.0,78.0,83.0,76.33333333333333,73.6,72.6,87.8,78.2,76.33333333333333,72.0
96,235243,M. de Ligt,85,CB,75000000.0,1.0,81000.0,189,89,https://cdn.sofifa.net/players/235/243/22_120.png,Juventus,Netherlands,Yes,59.0,60.0,69.0,84.66666666666667,61.4,60.8,70.4,81.8,84.66666666666667,62.5
97,41236,Z. Ibrahimović,84,ST,14500000.0,1.0,51000.0,195,95,https://cdn.sofifa.net/players/041/236/22_120.png,AC Milan,Sweden,Yes,87.0,78.0,79.0,29.666666666666668,81.8,78.4,67.4,78.8,29.666666666666668,75.0
98,146536,Jesús Navas,84,"RB, RM",13000000.0,1.0,30000.0,172,60,https://cdn.sofifa.net/players/146/536/22_120.png,Sevilla FC,Spain,Yes,69.0,81.0,83.0,79.33333333333333,76.2,74.8,84.8,65.6,79.33333333333333,76.16666666666667
99,152729,Piqué,84,CB,13500000.0,1.0,175000.0,194,85,https://cdn.sofifa.net/players/152/729/22_120.png,FC Barcelona,Spain,Yes,61.0,71.0,68.0,84.66666666666667,68.6,64.8,58.2,67.2,84.66666666666667,76.0
100,175943,D. Mertens,84,"CF, ST, CAM",20500000.0,1.0,105000.0,169,61,https://cdn.sofifa.net/players/175/943/22_120.png,Napoli,Belgium,Yes,82.0,80.0,88.0,34.333333333333336,70.2,82.4,87.0,64.4,34.333333333333336,70.16666666666667
101,181291,G. Wijnaldum,84,"CM, CDM",40500000.0,1.0,115000.0,175,74,https://cdn.sofifa.net/players/181/291/22_120.png,Paris Saint-Germain,Netherlands,Yes,75.0,80.0,86.0,76.33333333333333,77.0,81.0,82.4,79.8,76.33333333333333,78.83333333333333
102,183711,J. Henderson,84,"CDM, CM",29500000.0,1.0,140000.0,182,80,https://cdn.sofifa.net/players/183/711/22_120.png,Liverpool,England,Yes,74.0,83.0,79.0,78.66666666666667,75.2,80.4,71.0,78.8,78.66666666666667,78.0
103,184134,Fernando,84,"CDM, CM",21000000.0,1.0,43000.0,183,76,https://cdn.sofifa.net/players/184/134/22_120.png,Sevilla FC,Brazil,Yes,62.0,75.0,74.0,84.0,66.0,69.2,69.4,76.6,84.0,72.83333333333333
104,186345,K. Trippier,84,"RB, RWB, RM",36500000.0,1.0,74000.0,173,69,https://cdn.sofifa.net/players/186/345/22_120.png,Atlético de Madrid,England,Yes,63.0,82.0,77.0,80.0,71.6,80.8,75.6,74.8,80.0,75.33333333333333
105,192629,Iago Aspas,84,"ST, RW",27000000.0,1.0,46000.0,176,67,https://cdn.sofifa.net/players/192/629/22_120.png,RC Celta de Vigo,Spain,Yes,85.0,79.0,86.0,26.0,81.8,81.6,82.0,71.0,26.0,72.33333333333333
106,193080,De Gea,84,GK,28000000.0,1.0,120000.0,192,82,https://cdn.sofifa.net/players/193/080/22_120.png,Manchester United,Spain,Yes,,,,19.666666666666668,22.4,27.8,60.8,46.8,19.666666666666668,38.833333333333336
108,198706,Luis Alberto,84,"CAM, CM, CF",42500000.0,1.0,95000.0,183,74,https://cdn.sofifa.net/players/198/706/22_120.png,Lazio,Spain,Yes,76.0,86.0,84.0,56.0,72.6,86.2,69.2,69.2,56.0,65.0
109,199434,D. Tadić,84,"LW, CF, CAM",33500000.0,1.0,32000.0,181,76,https://cdn.sofifa.net/players/199/434/22_120.png,Ajax,Serbia,Yes,81.0,85.0,85.0,37.0,80.4,83.2,76.0,76.6,37.0,73.66666666666667
110,199451,W. Ben Yedder,84,ST,41500000.0,1.0,88000.0,170,68,https://cdn.sofifa.net/players/199/451/22_120.png,AS Monaco,France,Yes,84.0,77.0,87.0,31.0,80.4,79.6,86.4,76.0,31.0,74.33333333333333
111,200458,L. Digne,84,LB,40500000.0,1.0,110000.0,178,74,https://cdn.sofifa.net/players/200/458/22_120.png,Everton,France,Yes,69.0,80.0,80.0,81.66666666666667,73.6,80.2,78.6,81.6,81.66666666666667,74.5
113,202811,E. Martínez,84,GK,33500000.0,1.0,81000.0,195,88,https://cdn.sofifa.net/players/202/811/22_120.png,Aston Villa,Argentina,Yes,,,,17.0,25.4,28.2,58.8,49.6,17.0,38.333333333333336
114,203263,H. Maguire,84,CB,42500000.0,1.0,155000.0,194,100,https://cdn.sofifa.net/players/203/263/22_120.png,Manchester United,England,Yes,55.0,69.0,70.0,82.66666666666667,62.2,65.0,55.0,76.8,82.66666666666667,71.66666666666667
117,205988,L. Shaw,84,LB,48500000.0,1.0,140000.0,181,75,https://cdn.sofifa.net/players/205/988/22_120.png,Manchester United,England,Yes,54.0,79.0,80.0,81.66666666666667,69.0,73.6,78.2,73.2,81.66666666666667,74.83333333333333
118,206517,J. Grealish,84,"LW, LM, CAM",50500000.0,1.0,180000.0,180,81,https://cdn.sofifa.net/players/206/517/22_120.png,Manchester City,England,Yes,76.0,83.0,88.0,46.666666666666664,70.2,82.2,81.6,66.6,46.666666666666664,69.33333333333333
119,207862,M. Ginter,84,CB,42500000.0,1.0,45000.0,191,86,https://cdn.sofifa.net/players/207/862/22_120.png,Borussia Mönchengladbach,Germany,Yes,58.0,72.0,66.0,85.0,67.8,60.0,62.6,71.2,85.0,70.5
120,207863,Felipe,84,CB,27500000.0,1.0,74000.0,190,84,https://cdn.sofifa.net/players/207/863/22_120.png,Atlético de Madrid,Brazil,Yes,41.0,58.0,62.0,84.33333333333333,56.8,50.4,64.0,66.8,84.33333333333333,63.333333333333336
121,208418,Y. Carrasco,84,"LM, ST",45000000.0,1.0,81000.0,185,73,https://cdn.sofifa.net/players/208/418/22_120.png,Atlético de Madrid,Belgium,Yes,81.0,78.0,85.0,42.0,72.8,81.2,83.4,75.8,42.0,70.83333333333333
122,208574,F. Kostić,84,"LM, LWB",42500000.0,1.0,52000.0,184,82,https://cdn.sofifa.net/players/208/574/22_120.png,Eintracht Frankfurt,Serbia,Yes,77.0,82.0,83.0,69.66666666666667,75.0,80.2,82.8,79.4,69.66666666666667,74.5
